Data Source,World Development Indicators,,,,,,,,,,
,,,,,,,,,,,
Last Updated Date,3/28/24,,,,,,,,,,
,,,,,,,,,,,
Country Name,Country Code,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kiribati,KIR,Individuals using the Internet (% of population),11.5,12.25,14.9,19.41939784,25.30959816,32.9863863,42.99166167,45.14804292,53.6270365
St. Kitts and Nevis,KNA,Individuals using the Internet (% of population),64.6,68,75.7,76.81767491,80.71019081,,79.78450689,80.35854111,79.47306769
"Korea, Rep.",KOR,Individuals using the Internet (% of population),84.77,87.55682649,89.8962558,92.84302568,95.06942188,96.02285958,96.15757918,96.50506052,97.57132662
Kuwait,KWT,Individuals using the Internet (% of population),75.46,78.7,82,85.6,97.99998933,99.59884959,99.54267645,99.10587017,99.7
Latin America & Caribbean (excluding high income),LAC,Individuals using the Internet (% of population),45.1522649,47.73021699,53.35812921,56.44252062,59.33710167,62.76078639,68.05264456,73.44923167,75.59261708
Lao PDR,LAO,Individuals using the Internet (% of population),12.5,14.26,18.2,21.87,25.51043508,36.3,47.03225806,54,62
Lebanon,LBN,Individuals using the Internet (% of population),70.5,73,74,76.11,78.18077489,80.9,79.7588832,83.1038168,86.58903046
Liberia,LBR,Individuals using the Internet (% of population),3.2,5.41,10,15.7,16.3,18.9,23.48259047,27.95308059,33.63315905
Libya,LBY,Individuals using the Internet (% of population),16.5,17.76,,,,,,,
St. Lucia,LCA,Individuals using the Internet (% of population),49.4,53.2,57.3,61.7,66.4,71.5,76.98385013,77.53773417,78.09560329
Latin America & Caribbean,LCN,Individuals using the Internet (% of population),46.26254604,48.81033231,54.40198983,57.54435779,60.26243338,63.60415228,68.75080952,73.91301584,76.15822297
Least developed countries: UN classification,LDC,Individuals using the Internet (% of population),5.799148689,8.62344052,10.70999364,13.68636406,15.98720164,18.45929407,21.34061721,25.42286941,29.75478502
Low income,LIC,Individuals using the Internet (% of population),5.50409122,7.120899712,9.070028269,10.85778561,12.53713398,14.15525956,16.05666574,18.75345189,19.98569521
Liechtenstein,LIE,Individuals using the Internet (% of population),93.8,95.21,96.6411951,98.09390389,99.54661245,,93.14608695,94.34995199,95.56937637
Sri Lanka,LKA,Individuals using the Internet (% of population),,10.5,15.26,22.19,32.25,46.9,50.68732735,36.18473435,44.45308724
Lower middle income,LMC,Individuals using the Internet (% of population),16.09773988,18.51882188,20.78548205,23.80924379,26.69732236,29.80732121,36.39865603,45.39475271,49.01220547
Low & middle income,LMY,Individuals using the Internet (% of population),27.3829833,29.77787331,32.40981779,35.19070884,37.72699816,41.74459877,47.06797381,53.84869236,57.81369397
Lesotho,LSO,Individuals using the Internet (% of population),15,22,25,32.45385695,39,40.8,42.30173357,42.85616632,47.98299869
Late-demographic dividend,LTE,Individuals using the Internet (% of population),48.02974696,50.74795192,53.37281729,56.78379509,59.17635109,63.98281509,68.3551299,73.6584123,76.68780241
Lithuania,LTU,Individuals using the Internet (% of population),68.4529,72.13,71.37805901,74.37664556,77.61525651,79.72258277,81.58186838,83.05554724,86.93054425
Luxembourg,LUX,Individuals using the Internet (% of population),93.7765,94.67,96.37671417,98.13669867,97.36296032,97.06129871,97.12063569,98.45962893,98.66086333
Latvia,LVA,Individuals using the Internet (% of population),75.2344,75.83,79.20058292,79.84209778,80.114077,83.57717486,86.13545644,88.89796078,91.17964988
"Macao SAR, China",MAC,Individuals using the Internet (% of population),65.8,69.78,77.60013186,81.64298546,83.17408907,83.79408961,86.46792571,88.33262029,88.46810492
St. Martin (French part),MAF,Individuals using the Internet (% of population),,,,,,,,,
